"Movies_name","Movies_url","Movies_Amount","Movies_Genre","Movies_Metascore","Movies_Rating"
"Double Indemnity","https://www.imdb.com/title/tt0036775/?ref_=adv_li_tt","$5.72M","Crime, Drama, Film-Noir","95 Metascore","8.3"
"Citizen Kane","https://www.imdb.com/title/tt0033467/?ref_=adv_li_tt","$1.59M","Drama, Mystery","100 Metascore","8.3"
"M","https://www.imdb.com/title/tt0022100/?ref_=adv_li_tt","$0.03M","Crime, Mystery, Thriller","","8.3"
"Metropolis","https://www.imdb.com/title/tt0017136/?ref_=adv_li_tt","$1.24M","Drama, Sci-Fi","98 Metascore","8.3"
"The Kid","https://www.imdb.com/title/tt0012349/?ref_=adv_li_tt","$5.45M","Comedy, Drama, Family","","8.3"
"Green Book","https://www.imdb.com/title/tt6966692/?ref_=adv_li_tt","$85.08M","Biography, Comedy, Drama","69 Metascore","8.2"
"Three Billboards Outside Ebbing, Missouri","https://www.imdb.com/title/tt5027774/?ref_=adv_li_tt","$54.51M","Crime, Drama","88 Metascore","8.2"
"Room","https://www.imdb.com/title/tt3170832/?ref_=adv_li_tt","$14.68M","Drama, Thriller","86 Metascore","8.2"
"PK","https://www.imdb.com/title/tt2338151/?ref_=adv_li_tt","$10.62M","Comedy, Drama, Fantasy","","8.2"
"Inside Out","https://www.imdb.com/title/tt2096673/?ref_=adv_li_tt","$356.46M","Animation, Adventure, Comedy","94 Metascore","8.2"
"Gangs of Wasseypur","https://www.imdb.com/title/tt1954470/?ref_=adv_li_tt","","Action, Comedy, Crime","89 Metascore","8.2"
"The Secret in Their Eyes","https://www.imdb.com/title/tt1305806/?ref_=adv_li_tt","$6.39M","Drama, Mystery, Romance","80 Metascore","8.2"
"Warrior","https://www.imdb.com/title/tt1291584/?ref_=adv_li_tt","$13.66M","Drama, Sport","71 Metascore","8.2"
"Up","https://www.imdb.com/title/tt1049413/?ref_=adv_li_tt","$293.00M","Animation, Adventure, Comedy","88 Metascore","8.2"
"The Wolf of Wall Street","https://www.imdb.com/title/tt0993846/?ref_=adv_li_tt","$116.90M","Biography, Crime, Drama","75 Metascore","8.2"
"Pan's Labyrinth","https://www.imdb.com/title/tt0457430/?ref_=adv_li_tt","$37.63M","Drama, Fantasy, War","98 Metascore","8.2"
"V for Vendetta","https://www.imdb.com/title/tt0434409/?ref_=adv_li_tt","$70.51M","Action, Drama, Sci-Fi","62 Metascore","8.2"
"Rang De Basanti","https://www.imdb.com/title/tt0405508/?ref_=adv_li_tt","$2.20M","Comedy, Drama","","8.2"
